time_s,energy,centroid,onset,harm_flux,perc_onset,melody_f0,contrast
0.00,0.02893,1264.01150,13.37700,0.12339,4.42695,385.44434,4.00353
0.50,0.03481,830.29329,20.71836,0.15179,9.00348,310.07812,4.21331
1.00,0.02852,908.38522,6.02067,0.08263,2.61832,428.51074,4.42469
1.50,0.03061,925.41583,10.71628,0.09311,8.36116,387.59766,4.33430
2.00,0.02796,752.87690,7.55755,0.08566,2.78568,310.07812,4.20782
2.50,0.02143,1206.82241,11.08221,0.13969,8.68898,607.23633,4.20825
3.00,0.04951,2021.43977,48.75856,0.17647,59.48108,271.31836,3.32520
3.50,0.12937,1917.60959,28.46936,0.04950,65.96315,785.96191,3.26229
4.00,0.10322,1927.35538,110.85629,0.33841,88.32631,742.89551,3.09556
4.50,0.11459,2138.73630,127.86654,0.44279,81.87247,785.96191,2.96647
5.00,0.10169,1509.61011,55.05081,0.18766,40.93619,411.28418,3.35775
5.50,0.04906,1050.33850,20.43045,0.12620,15.81539,206.71875,3.56183
6.00,0.05214,2209.26244,43.87965,0.13969,72.40647,486.65039,2.98525
6.50,0.10405,1858.91604,110.30101,0.33848,71.09177,577.08984,2.95190
7.00,0.12116,1911.70076,53.16149,0.12422,60.16493,882.86133,2.91513
7.50,0.11676,1949.82066,25.08818,0.09014,59.59091,794.57520,2.90582
8.00,0.11066,1992.26874,118.47030,0.32347,83.87094,943.15430,3.13228
8.50,0.10188,1861.24405,57.44457,0.14230,47.56561,900.08789,3.06576
9.00,0.13144,1723.98640,49.26515,0.13617,58.45876,902.24121,3.20292
9.50,0.11141,1643.52187,91.91408,0.31794,47.68292,861.32812,3.24447
10.00,0.08861,1511.54297,53.99950,0.11779,36.09168,549.09668,3.08771
10.50,0.10018,1663.58208,94.72675,0.24950,60.10417,768.73535,3.22595
11.00,0.11712,1568.14037,111.31294,0.32040,51.88601,850.56152,3.55391
11.50,0.11665,1268.97896,86.71369,0.22881,35.61507,409.13086,3.56687
12.00,0.05205,888.28507,19.12649,0.09226,8.83685,195.95215,4.15440
12.50,0.05614,1054.90296,29.79493,0.11085,29.10078,383.29102,4.23274
13.00,0.09319,1060.00338,67.32307,0.23341,27.68488,331.61133,3.99447
13.50,0.08410,872.17670,33.76543,0.09336,16.08091,327.30469,4.17686
14.00,0.07700,1032.49901,33.84168,0.10943,21.64297,381.13770,4.18382
14.50,0.07353,918.43896,16.51709,0.07776,10.34448,387.59766,4.21054
15.00,0.05551,917.81519,28.79550,0.08440,11.54089,178.72559,4.18498
15.50,0.05531,899.80360,21.79670,0.10182,18.37105,245.47852,3.81653
16.00,0.04805,836.49201,14.55317,0.06334,8.32211,348.83789,4.63986
16.50,0.08436,3177.34668,70.45781,0.13953,313.35180,292.85156,3.08588
17.00,0.09666,3052.25131,102.26697,0.27882,175.03642,383.29102,2.84027
17.50,0.14266,2499.82330,102.25304,0.20034,195.38792,445.73730,3.42144
18.00,0.14454,2353.25219,153.24822,0.28636,182.91323,478.03711,3.16903
18.50,0.09807,2675.45745,94.15645,0.26686,177.99664,338.07129,3.06446
19.00,0.06364,1575.90203,35.44243,0.19449,28.32313,394.05762,3.32513
19.50,0.09540,1730.84134,85.51861,0.24935,81.87734,445.73730,3.07233
20.00,0.12645,2068.08381,85.23683,0.20071,162.44276,327.30469,3.29732
20.50,0.14399,1773.48904,46.26991,0.07274,92.41295,389.75098,3.27345
21.00,0.14043,1712.53346,77.38335,0.15973,85.39747,417.74414,3.15642
21.50,0.12600,1991.88689,44.65206,0.11435,98.02381,381.13770,3.22253
22.00,0.05012,1569.15683,25.14005,0.13525,25.52792,316.53809,3.27918
22.50,0.03612,1867.10545,14.52877,0.08426,29.09405,178.72559,3.06084
23.00,0.06012,1731.64881,50.47996,0.14262,103.24178,232.55859,3.80079
23.50,0.16345,2006.04421,122.32145,0.20409,125.66015,419.89746,3.47384
24.00,0.15502,2403.61493,102.70956,0.10214,223.63634,434.97070,3.65919
24.50,0.13632,2127.38009,173.79643,0.40219,123.66243,508.18359,2.91285
25.00,0.15264,1538.29857,130.79223,0.34028,93.97171,773.04199,3.26118
25.50,0.09509,1311.37353,81.62652,0.33778,28.54721,454.35059,3.43471
26.00,0.10266,1716.25985,69.24206,0.23478,89.20653,385.44434,3.53934
26.50,0.08753,1917.19336,48.87945,0.15459,73.68128,370.37109,3.01659
27.00,0.08384,1459.19527,67.87064,0.21551,90.51291,292.85156,3.49324
27.50,0.09028,3030.96804,74.18258,0.23037,266.46802,331.61133,2.78798
28.00,0.10093,1793.71147,58.83831,0.22720,80.09562,385.44434,2.93816
28.50,0.05915,1966.71727,35.80801,0.19507,50.91091,318.69141,3.22475
29.00,0.04251,1464.63020,11.61745,0.08901,29.75995,150.73242,3.24176
29.50,0.05175,1892.92134,46.40410,0.13068,91.28065,366.06445,3.23915
30.00,0.13774,2240.33930,126.72181,0.21431,215.28511,441.43066,3.30472
30.50,0.11556,1673.34521,83.32769,0.23300,104.70450,361.75781,3.59049
31.00,0.15085,2259.30229,146.68697,0.22366,255.68080,430.66406,3.27789
31.50,0.15397,2155.41581,111.67770,0.25099,154.56110,452.19727,3.26439
32.00,0.11991,2179.35290,93.16929,0.20536,166.34379,361.75781,3.18176
32.50,0.08481,1556.80297,70.34772,0.20249,53.10678,297.15820,3.22658
33.00,0.07048,1170.79096,49.28653,0.15044,26.69369,314.38477,3.38925
33.50,0.06800,1839.59428,49.66560,0.16287,83.67686,234.71191,3.08193
34.00,0.08133,2441.07296,59.97576,0.13643,106.19176,275.62500,2.37712
34.50,0.10837,1711.60918,27.79769,0.06022,41.57784,495.26367,2.99808
35.00,0.15787,2182.13019,90.75061,0.13456,161.72628,493.11035,3.51513
35.50,0.13010,1721.56197,158.82872,0.43914,85.21550,478.03711,3.40190
36.00,0.06742,1846.56138,18.91858,0.08540,38.82096,417.74414,3.08516
36.50,0.11496,2395.93929,100.06306,0.17207,168.24344,398.36426,3.06448
37.00,0.15806,2111.86739,81.55229,0.15828,162.88732,387.59766,3.14536
37.50,0.12732,1957.30108,102.20835,0.23312,134.85284,594.31641,3.40935
38.00,0.13935,2202.58266,129.36474,0.26494,168.85896,456.50391,3.39339
38.50,0.12240,1892.12818,80.83418,0.23564,116.67545,413.43750,3.57389
39.00,0.09925,1783.55071,87.09372,0.19334,99.11236,350.99121,3.08972
39.50,0.06620,1809.62619,36.64189,0.12610,48.99327,286.39160,2.95828
40.00,0.05995,2023.55930,30.67709,0.12874,58.49376,282.08496,2.78953
40.50,0.08350,1746.13361,59.57228,0.14305,51.94603,295.00488,2.84279
41.00,0.03646,2572.90073,20.71269,0.10830,73.43036,243.32520,2.47090
41.50,0.05822,1868.94211,39.34607,0.10193,34.49436,387.59766,2.92516
42.00,0.04782,1398.51528,30.98756,0.10622,41.99497,206.71875,3.35997
42.50,0.02907,1556.64150,12.50659,0.09981,35.10744,258.39844,3.54995
43.00,0.12964,1608.57626,140.67798,0.25248,144.58184,320.84473,3.22850
43.50,0.15746,2318.71199,100.83240,0.21997,298.11540,441.43066,2.95889
44.00,0.16955,1855.36621,166.72565,0.24127,202.55287,590.00977,3.38907
44.50,0.12993,1438.68775,127.01580,0.27677,105.76956,357.45117,3.10200
